,City Name,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nizhneyansk,71.450058,136.1122279,252.09,85,0,6.9,RU,1612849188
1,visby,57.6348,18.29484,268.15,86,90,6.17,SE,1612849188
2,hasaki,40.72969990000001,-73.98881349999999,271.15,69,1,2.57,US,1612849188
3,jamestown,37.2116383,-76.7752102,276.15,87,40,2.8,US,1612848907
4,ushuaia,-54.8019121,-68.3029511,285.15,82,40,5.66,AR,1612848902
5,albany,42.6525793,-73.7562317,265.93,72,89,0.74,US,1612849023
6,turukhansk,65.79585999999999,87.962418,258.86,92,82,7.7,RU,1612849189
7,bluff,37.2844448,-109.5517877,280.15,23,92,1.76,US,1612848907
8,punta arenas,-53.1638329,-70.9170683,284.15,82,0,2.57,CL,1612848912
9,hobart,-42.8821377,147.3271949,288.71,51,75,3.6,AU,1612848911
10,busselton,-33.6531584,115.3454892,297.04,53,66,1.79,AU,1612848903
11,tsihombe,-25.3168473,45.48630929999999,302.78,58,100,1.11,MG,1612849023
12,tabiauea,0.9182079999999999,173.027965,301.15,83,40,4.12,KI,1612849189
13,mataura,-46.1939524,168.8654783,284.08,95,100,2.42,NZ,1612848907
14,carutapera,-1.2097936,-46.022953,298.37,88,100,2.47,BR,1612849189
15,hithadhoo,-0.6060574,73.0892245,300.99,80,94,5.42,MV,1612849017
16,hay river,60.816218,-115.7853652,244.15,69,100,8.23,CA,1612849190
17,bangassou,4.7378613,22.8165095,290.94,28,96,1.11,CF,1612849190
18,kapaa,22.0881391,-159.3379818,294.15,64,75,3.6,US,1612848910
19,soderhamn,61.3055762,17.0628102,261.48,92,82,2.39,SE,1612849190
20,rikitea,-23.1223034,-134.9691543,299.01,73,17,4.26,PF,1612848911
21,xinpu,24.8279033,121.0771144,294.82,61,58,2.68,TW,1612849190
22,kenai,60.55444439999999,-151.2583333,255.93,77,1,1.54,US,1612848917
23,mangrol,21.1171698,70.11581129999999,300.82,27,0,1.02,IN,1612849190
24,sakakah,29.87800309999999,40.1043057,282.15,81,0,1.54,SA,1612849191
25,saskylakh,71.954308,114.1198349,239.65,84,26,1.4,RU,1612849191
26,marawi,8.0106213,124.297718,300.93,83,100,2.68,PH,1612849191
27,pangnirtung,66.1465578,-65.7012182,260.62,71,0,1.02,CA,1612849191
28,flin flon,54.7657685,-101.8762147,246.61,87,100,6.1,CA,1612849191
29,torbay,50.4619209,-3.525315,274.26,2,100,2.68,GB,1612849191
30,upernavik,72.7862882,-56.1375527,263.4,78,0,2.44,GL,1612849191
31,acari,41.283753,-72.36843329999999,268.71,79,20,0.43,US,1612849191
32,mnogovershinnyy,53.9356435,139.9198436,255.13,92,100,3.56,RU,1612849192
33,komsomolskiy,55.7016171,57.13662919999999,245.72,86,100,5.06,RU,1612849192
34,athmallik,20.7240587,84.53532469999999,302.82,14,0,1.9,IN,1612849192
